Title;Issn;SJR
Source;2328207X, 07374453;100
South;24748102, 24709506;100
South Central Review;07436831, 15493377;100
Spirale;12784699;100
Sportswear International;10210989;100
Stand;389366;100
Steel Times International;1437798;100
Storia del Pensiero Politico;22799818;100
Street Art and Urban Creativity;21833869, 21839956;100
Studia Liturgica;393207;100
Studia Musicologica;393266;100
Studia Romanica Posnaniensia;1372475;100
Studia Slavica Academiae Scientiarum Hungaricae;00393363, 1588290X;100
Studia z Filologii Polskiej i Slowianskiej;817090;100
Studi e Problemi di Critica Testuale;00492361, 1826722X;100
Studies in Canadian Literature - Etudes en Litterature Canadienne;03806995, 17187850;100
Studies in Eastern European Cinema;2040350X, 20403518;100
Studies in Interreligious Dialogue;17831806, 09262326;100
Studies in Spanish and Latin American Cinemas;20504845, 20504837;100
Studies on Voltaire and the Eighteenth Century;4352866;100
Studi Francesi;392944;100
Studii si Cercetari Fliologice, Seria Limbi Romanice;18433979, 23444851;100
Studi Piemontesi;3927261;100
Studi sulla Questione Criminale;18284973, 19733984;100
Sulzer Technical Review;16609042, 00394912;100
Symposium - Quarterly Journal in Modern Literatures;00397709, 19310676;100
Synergies Algerie;22605029, 19585160;100
Tagliche Praxis;0494464X;100
Taiwan Review;17275199, 17275148;100
Tamkang Journal of International Affairs;10274979;100
Tanz;18697720;100
TAPPI PLACE Conference 2016: Exploring New Frontiers;-;100
Technical Paper - Society of Manufacturing Engineers. MS;1616382;100
Technical Review - Mitsubishi Heavy Industries;266817;100
Technical Textiles International;9645993;100
Teikyo Medical Journal;3875547;100
Teksty Drugie;8670633;100
Textile Magazine;405078;100
Textile Network;16125096;100
Textile Rental;1950118;100
Textiles Panamericanos;493570;100
Textile View Magazine;13845306;100
Textil-Revue;404861;100
TextilWirtschaft;0040487X;100
Text Matters;20832931, 2084574X;100
Text und Kritik;09352929, 00405329;100
Theaterheute;405507;100
Theatre and Performance Design;23322578, 23322551;100
Theatre Survey;14754533, 00405574;100
Theologische Beitrage;3422372;100
Theologische Quartalschrift;3421430;100
Therapie Familiale;2504952;100
TLS - The Times Literary Supplement;0307661X;100
Tocqueville Review/La Revue Tocqueville, The;0730479X;100
Trabajo y Derecho;23868112, 23868090;100
Transformation;17598931, 02653788;100
Transsylvania Nostra;18425631;100
Travaux de Litterature;9956794;100
Travaux et Memoires;5771471;100
Triquarterly;413097;100
Tumor Diagnostik und Therapie;0722219X, 14391279;100
Tunnels and Tunnelling International;13693999, 20541236;100
Turkbilig;13026011;100
Turk Kulturu ve Haci Bektas Veli - Arastirma Dergisi;13068253;100
Twist;17590418;100
Tyche;10109161;100
Tyndale Bulletin;827118;100
Tzintzun;1870719X, 01882872;100
Umeni;495123;100
University of Bucharest Review: Literary and Cultural Studies Series;20698658;100
Urology Times;00939722, 21507384;100
VDI-Z Integrierte Produktion;3417255;100
Verhaltenstherapie und Verhaltensmedizin;10131973;100
Vestnik Sankt-Peterburgskogo Universiteta, Iskusstvovedenie;25422243, 22213007;100
Viator - Medieval and Renaissance Studies;835897;100
Victorians;21660107;100
Virginia Quarterly Review;0042675X;100
Visual Resources;1973762;100
Wallace Stevens Journal;1487132;100
Wasafiri;2690055;100
Water and Wastes Digest;431141;100
Water, Sewage and Effluent;2578700;100
Wescon Conference Record;-;100
Western Humanities Review;433845;100
Wochenblatt fuer Papierfabrikation;437131;100
Word of Mouth;10483950;100
World Literature Today;19458134, 01963570;100
World Oil;438790;100
Yale Review;00440124, 14679736;100
Yearbook of the International Society for History Didactics;16088751;100
Year's Work in English Studies;844144;100
Yeni Symposium;13044591, 13008773;100
Zeichen;9324747;100
Zeitgeschichte;2565250;100
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Romanistische Abteilung;03234096, 23044934;100
Zeitschrift fur Katholische Theologie;442895;100
Zeitschrift für Kunstgeschichte;442992;100
Zeitschrift fur Religions- und Geistesgeschichte;00443441, 15700739;100
Zivot Umjetnosti;05147794, 18492207;100
"Proceedings of the International School of Physics ""Enrico Fermi"";conference and proceedings;""0074784X";-;9
3D Printing in Medicine;23656271;
Abriu;20148534, 20148526;
Acotaciones;24443948, 11307269;
ACS Materials Letters;26394979;
Acta Academiae Artium Vilnensis;13920316;
Acta Fytotechnica et Zootechnica;13369245, 1335258X;
Acta Geographica Lodziensia;651249;
Acta Hydrotechnica;15810267, 03523551;
Acta Informatica Pragensia;18054951;
Acta Logistica;13395629;
Acta Paedagogica Vilnensia;13925016, 1648665X;
Acta Psychologica Sinica;0439755X;
Acta Scientiarum Polonorum, Administratio Locorum;24500771, 16440749;
Actualidad Juridica Iberoamericana;23864567;
Advanced Sustainable Systems;23667486;
Advanced Theory and Simulations;25130390;
Advanced Therapeutics;23663987;
Advancements in Life Sciences;23105380;
Advances in Environmental Technology;24764779, 24766674;
Advances in Health Care Management;14748231;
Advances in Mathematics: Scientific Journal;18578365, 18578438;
Advances in Microbial Physiology;652911;
Advances in Quantum Chemistry;653276;
Advances in Statistical Climatology, Meteorology and Oceanography;23643587, 23643579;
Advances in the Theory of Nonlinear Analysis and its Applications;25872648;
Aesthetic Medicine;24217115;
Afkar;25501755, 15118819;
Age of Human Rights Journal;23409592;
Aging Medicine;24750360;
Agronomy Mesoamerican;22153608;
AIMS Environmental Science;23720352;
AIMS Microbiology;24711888;
AJIL Unbound;23987723;
Al-'Arabiyya;23754036, 08898731;
Algebraic Structures and their Applications;24233447;
Alif;11108673;
Alternativas;19899971, 11330473;
Ambitos;23864494, 15752100;
America sin Nombre;19899831, 15773442;
Analytica Chimica Acta: X;25901346;
Analytical and Quantitative Cytopathology and Histopathology;2578742X;
Analytical Science and Technology;12250163, 22888985;
Andrologia i Genital'naa Hirurgia;20709781, 24128902;
Anglica;8605734;
Ankara Universitesi Ilahiyat Fakultesi Dergisi;13010522, 13092057;
Annali di Storia delle Universita Italiane;11278250;
Annals of Clinical and Experimental Neurology;24092533, 20755473;
Annals of HPB Surgery;19955464, 24089524;
Annals of the International Communication Association;23808977, 23808985;
Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks workshops;21555486;
Anos 90;0104236X, 1983201X;
Anthropology and Aging;23742267;
Antiguedad, Religiones y Sociedades;21736847, 1575166X;
Apeiron;21567093, 00036390;
Appita TIME Magazine;26520974, 26520966;
Applied Environmental Biotechnology;23826436, 24249092;
Applied Environmental Research;22870741, 2287075X;
Applied Science and Engineering Progress;26730421, 26729156;
Approaching Religion;17993121;
Apuntes;22231757, 02521865;
ArcHistoR;23848898;
Archives of Craniofacial Surgery;22871152, 22875603;
Arctic Review on Law and Politics;23874562;
Arctic Science;23687460;
Armenian Journal of Mathematics;18291163;
Artifact;17493471, 17493463;
Artseduca;22540709;
ASHRAE Standard;10412336;
Asian Cinema;1059440X, 20496710;
Asian Journal of Agriculture and Rural Development;22244433, 23041455;
Asian Journal of University Education;26009749, 18237797;
Atelie Geografico;19821956;
Atencion Primaria Practica;26050730;
Atherosclerosis: X;25901354;
Atmospheric Environment: X;25901621;
Audiology and Speech Research;26355019, 26355027;
Australasian historical archaeology : journal of the Australasian Society for Historical Archaeology;13229214;
Australian Journalism Review;2517620X, 08102686;
Australian Journal of Cancer Nursing;14412551;
Australian Universities Review;22085394, 08188068;
Avances del Cesor;15143899, 24226580;
Baltistica;01326503, 23450045;
Barnboken;20004389;
Basrah Journal of Agricultural Sciences;18145868, 25200860;
Bibliotecas, Anales de Investigacion;16838947, 0006176X;
Biblos;21837139, 08704112;
Biomath;13147218, 1314684X;
Biomedical and Biopharmaceutical Research;21822379, 21822360;
Biosensors and Bioelectronics: X;25901370;
Biosurface and Biotribology;24054518;
Biosystems Diversity;25202529, 25198513;
Biuletynu Polskiej Misji Historycznej;20837755, 2391792X;
BMC Chemistry;2661801X;
BMC Molecular and Cell Biology;26618850;
BMJ Open Quality;23996641;
Boletim de Estudos Classicos;21837260, 08722110;
Bonplandia;18538460, 05240476;
Book History;10987371, 15291499;
Botanicheskii Zhurnal;68136;
Boyhood Studies;23759240, 23759267;
Brain and Neuroscience Advances;23982128;
Brazilian Neurosurgery;23595922, 01035355;
British Tax Review;71870;
BSAA Arte;18889751, 25306359;
Buletin Ekonomi Moneter dan Perbankan;14108046, 24609196;
Bulletin of Geography, Physical Geography Series;23008490, 20807686;
Bulletin of Irkutsk State University, Series Mathematics;25418785, 19977670;
Bulletin of Ugric Studies;25879766, 22204156;
Cadernos de Traducao;21757968, 1414526X;
Cailiao Daobao/Materials Reports;-;
Campbell Systematic Reviews;18911803;
Caracol;23179651, 21781702;
Caracteres;22544496;
Carpathian Mathematical Publications;20759827, 23130210;
CASE Journal;15449106;
Casopis pro Pravni Vedu a Praxi;18052789, 12109126;
Caspian Journal of Environmental Sciences;17353033, 17353866;
Challenges in Sustainability;22976477;
Chaos, Solitons and Fractals: X;25900544;
Chelyabinsk Physical and Mathematical Journal;25000101, 26190117;
ChemBioEng Reviews;21969744;
Chemical Data Collections;24058300;
Chemical Engineering Science: X;25901400;
Chemical Physics Letters: X;25901419;
Christian Journal for Global Health;21672415;
Cidades;21823030;
Cinema;16478991;
CJC Open;2589790X;
Clinical Lipidology and Metabolic Disorders;26415321;
Clinical Sarcoma Research;20453329;
Clothing Cultures;20500742, 20500750;
Cogent Medicine;2331205X;
Colombian Journal of Anesthesiology;01203347, 22562087;
Communiquer;23689587;
Communitas;10230556, 24150525;
Community Psychology in Global Perspective.;24212113;
Comparative Law Review;08669449, 23917644;
Composites Theory and Practice;20846096, 2299128X;
Computers and Graphics: X;25901486;
Computer Science Journal of Moldova;15614042;
Con A de Animacion;21736049, 21733511;
Concrete Operators;22993282;
Concurrent Systems Engineering Series;13837575;
Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics;1062922X;
Conflict and Society;21644543, 21644551;
Contemporary French Civilization;1479156;
Contemporary Mathematics;02714132, 10983627;
Contraception: X;25901516;
Corrosion Science and Technology;15986462, 22886524;
Counselling Psychology Review;17572142, 23968672;
Cracow Indological Studies;17320917;
Critical Studies;0923411X;
Critical Studies in Men's Fashion;20500718, 2050070X;
Croatian and Comparative Public Administration;18480357, 18492150;
Cultura;03931560, 26122391;
Cultural Management: Science and Education;25126962;
Current Materials Science;26661462, 26661454;
Cytokine: X;25901532;
Defence Life Science Journal;24560537;
De Medio Aevo;22555889;
Derecho PUCP;23052546, 02513420;
Dialogue and Universalism;12345792, 16893816;
Differencialnie Uravnenia i Protsesy Upravlenia;18172172;
Dilbilim Arastirmalari Dergisi;13008552, 25870939;
Diritto Pubblico;17218985, 26122464;
Discussiones Mathematicae - General Algebra and Applications;20840373, 15099415;
Documenti Geografici;22817549;
Drama Therapy Review;20547668, 20547676;
Drug Delivery Letters;2210304X, 22103031;
East European Journal of Psycholinguistics;23123265, 23132116;
Ecological Engineering: X;25902903;
Economia y Politica;07194714, 07194803;
Economic Research Guardian;22478531;
Economics of Peace and Security Journal;1749852X;
Edinburgh Law Review;17551692, 13649809;
Educational Administration: Theory and Practice;13004832, 21482403;
Education in the Knowledge Society;24448729;
Egyptian Journal of Botany;23570350, 03759237;
Eidola;1826719X, 18246192;
eJournal of eDemocracy and Open Government;20759517;
Ekonomia i Srodowisko;08678898, 23006420;
Ekphrasis;25592068;
Electrica;26199831;
Embroidery;14773724;
Empedocles;17571960, 17571952;
Energy Conversion and Management: X;25901745;
Energy Harvesting and Systems;23298774, 23298766;
English Literature;23851635, 2420823X;
English Scholarship Beyond Borders;24109096;
Enrahonar;0211402X, 2014881X;
Environmental Health and Toxicology;22336567;
Estudios Frontizeros;23959134;
Etudes Romanes de Brno;23364416, 18037399;
Eurasian Physical Technical Journal;24132179, 18111165;
European Data Protection Law Review;2364284X, 23642831;
European Endodontic Journal;25480839;
European Journal of Obstetrics and Gynecology and Reproductive Biology: X;25901613;
European Journal of Pragmatism and American Philosophy;20364091;
European State Aid Law Quarterly;16195272, 21908184;
Expert Systems with Applications: X;25901885;
Facets;23711671;
Family Court Review;15312445, 17441617;
Farmatsiya i Farmakologiya;23079266, 24132241;
FAU Studies Mathematics and Physics;21967482;
Feminist Media Histories;23737492;
Film Comment;0015119X, 0015120X;
Film Fashion and Consumption;20442823, 20442831;
Film-Philosophy;14664615;
Filosofskii Zhurnal;20720726, 26584883;
Folia Linguistica et Litteraria;23370955, 18008542;
Food Chemistry, Function and Analysis;23980656, 23980664;
Food Chemistry: X;25901575;
Food Engineering Progress;22881247, 12264768;
Forensic Science International: Synergy;2589871X;
Forma y Funcion;0120338X, 22565469;
Foro de Educacion;16987802;
FORUM (Netherlands);15987647, 2451909X;
Frontiers in Applied Mathematics and Statistics;22974687;
Frontiers in Clinical Drug Research - Alzheimer Disorders;22145168, 24518743;
Frontiers in Clinical Drug Research - Anti Infectives;24523208, 23523212;
Fuentes el Reventon Energetico;21458502, 16576527;
Fungal Biology and Biotechnology;20543085;
Future Cities and Environment;23639075;
Gels;23102861;
Gene: X;25901583;
Genocide Studies International;22911855, 22911847;
Genomics and Informatics;22340742;
Geodeziya i Kartografiya;167126;
Geology and Mineral Resources of Siberia;23119594, 20780575;
Geomatics and Environmental Engineering;23007095, 18981135;
Geophysical Research;18183735, 23119543;
GeoScape;18021115;
Geoscience Data Journal;20496060;
Grafica;23397500, 20149298;
Gulf and Caribbean Research;15280470, 25721410;
Handbook of Numerical Analysis;15708659;
Handbook of Statistics;1697161;
Haser;2172055X, 23864761;
Health Psychology Report;23535571, 23534184;
Health Psychology Research;24208124;
Hepatology Communications;2471254X;
Higher Education for the Future;23485779, 23476311;
Historia, Instituciones, Documentos;02107716, 22538291;
Historical Studies in Industrial Relations;20494459, 13621572;
